Source,Type,Target,Weight
Роберт,Undirected,Фагот-Коровьев,1
Роберт,Undirected,Фрида,1
Роберт,Undirected,барон Майгель,1
Рудольф,Undirected,Тофана,1
Рудольф,Undirected,Фагот-Коровьев,1
Рудольф,Undirected,Фрида,1
Рудольф,Undirected,барон Майгель,1
Сашка Рюхин,Undirected,Фока,1
Сашка Рюхин,Undirected,швейцар Николай,1
Сергей Дунчиль,Undirected,доктор Стравинский,1
Софья Павловна,Undirected,Фагот-Коровьев,1
Степан Лиходеев,Undirected,Тимофей Квасцов,1
Степан Лиходеев,Undirected,Фагот-Коровьев,4
Тимофей Квасцов,Undirected,Фагот-Коровьев,1
Тофана,Undirected,Фагот-Коровьев,1
Тофана,Undirected,Фрида,1
Тофана,Undirected,барон Майгель,1
Фагот-Коровьев,Undirected,Фрида,2
Фагот-Коровьев,Undirected,барон Майгель,2
Фагот-Коровьев,Undirected,профессор Кузьмин,1
Фока,Undirected,швейцар Николай,1
Фрида,Undirected,барон Майгель,1
Фёдор Васильевич,Undirected,доктор Стравинский,1
барон Майгель,Undirected,профессор Кузьмин,1
критик Латунский,Undirected,рыжий гражданин,1
